Date,Open,High,Low,Close,Adj Close,Volume
10-Jul-24,229.3,233.08,229.25,232.98,231.41,"62,627,700"
9-Jul-24,227.93,229.4,226.37,228.68,227.14,"48,076,100"
8-Jul-24,227.09,227.85,223.25,227.82,226.28,"59,085,900"
5-Jul-24,221.65,226.45,221.65,226.34,224.81,"60,412,400"
3-Jul-24,220,221.55,219.03,221.55,220.06,"37,369,800"
2-Jul-24,216.15,220.38,215.1,220.27,218.78,"58,046,200"
1-Jul-24,212.09,217.51,211.92,216.75,215.29,"60,402,900"
28-Jun-24,215.77,216.07,210.3,210.62,209.2,"82,542,700"
27-Jun-24,214.69,215.74,212.35,214.1,212.66,"49,772,700"
26-Jun-24,211.5,214.86,210.64,213.25,211.81,"66,213,200"
25-Jun-24,209.15,211.38,208.61,209.07,207.66,"55,549,700"
24-Jun-24,207.72,212.7,206.59,208.14,206.74,"80,727,000"
21-Jun-24,210.39,211.89,207.11,207.49,206.09,"241,805,100"
20-Jun-24,213.93,214.24,208.85,209.68,208.27,"86,172,500"
18-Jun-24,217.59,218.63,213,214.29,212.84,"79,943,300"
17-Jun-24,213.37,218.95,212.72,216.67,215.21,"93,728,300"
14-Jun-24,213.85,215.17,211.3,212.49,211.06,"70,122,700"
13-Jun-24,214.74,216.75,211.6,214.24,212.79,"97,862,700"
12-Jun-24,207.37,220.2,206.9,213.07,211.63,"198,134,300"
11-Jun-24,193.65,207.16,193.63,207.15,205.75,"172,373,300"
10-Jun-24,196.9,197.3,192.15,193.12,191.82,"97,010,200"
7-Jun-24,194.65,196.94,194.14,196.89,195.56,"53,103,900"
6-Jun-24,195.69,196.5,194.17,194.48,193.17,"41,181,800"
5-Jun-24,195.4,196.9,194.87,195.87,194.55,"54,156,800"
4-Jun-24,194.64,195.32,193.03,194.35,193.04,"47,471,400"
3-Jun-24,192.9,194.99,192.52,194.03,192.72,"50,080,500"
31-May-24,191.44,192.57,189.91,192.25,190.95,"75,158,300"
30-May-24,190.76,192.18,190.63,191.29,190,"49,889,100"
29-May-24,189.61,192.25,189.51,190.29,189.01,"53,068,000"
28-May-24,191.51,193,189.1,189.99,188.71,"52,280,100"
24-May-24,188.82,190.58,188.04,189.98,188.7,"36,327,000"
23-May-24,190.98,191,186.63,186.88,185.62,"51,005,900"
22-May-24,192.27,192.82,190.27,190.9,189.61,"34,648,500"
21-May-24,191.09,192.73,190.92,192.35,191.05,"42,309,400"
20-May-24,189.33,191.92,189.01,191.04,189.75,"44,361,300"
17-May-24,189.51,190.81,189.18,189.87,188.59,"41,282,900"
